-90,1.200,0.000,1.080,0.000
-80,1.161,-0.294,1.020,0.170
-70,1.050,-0.558,0.966,0.320
-60,0.888,-0.745,0.875,0.480
-50,0.702,-0.847,0.750,0.630
-40,0.531,-0.847,0.580,0.800
-30,0.430,-0.745,0.355,0.890
-25,0.370,-0.795,0.248,0.890
-20,0.360,-0.950,0.162,0.820
-15,0.190,-1.030,0.092,0.610
-10,0.040,-0.710,0.044,0.380
-5,0.022,-0.356,0.021,0.160
0,0.010,0.000,0.018,-0.060
5,0.022,0.356,0.033,-0.280
10,0.040,0.710,0.066,-0.500
15,0.190,1.030,0.118,-0.730
20,0.360,0.950,0.174,-0.930
25,0.370,0.795,0.265,-1.000
30,0.430,0.745,0.360,-1.000
40,0.531,0.847,0.575,-0.880
50,0.702,0.847,0.745,-0.660
60,0.888,0.745,0.875,-0.460
70,1.050,0.558,0.965,-0.280
80,1.161,0.294,1.025,-0.120
90,1.200,0.000,1.100,0.000
